File_Path,Link,Chunk
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Industy_Affiliates_RAW.html,https://www.cics.umass.edu/outreach/industrial-affiliates,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Info_Accepted_students_RAW.html,https://www.cics.umass.edu/information-newly-accepted-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Info_Sessions_Prospective_RAW.html,https://www.cics.umass.edu/infosessions,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Informatics_Advising_RAW.html,https://www.cics.umass.edu/ugrad-education/informatics-advising,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Informatics_FAQS_RAW.html,https://www.cics.umass.edu/ugrad-education/informatics-faqs,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Informatics_RAW.html,https://www.cics.umass.edu/informatics,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Informatics_student_profiles_RAW.html,https://www.cics.umass.edu/ugrad-education/informatics-student-profiles,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Information_Visualization_RAW.html,https://www.cics.umass.edu/research/area/information-visualization,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\IT_Facilities_Staff_RAW.html,https://www.cics.umass.edu/people/cscf,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Joining_Informatics_RAW.html,https://www.cics.umass.edu/ugrad-education/joining-informatics-major,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Machine_Learning_RAW.html,https://www.cics.umass.edu/research/area/machine-learning,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Make_A_Gift_RAW.html,https://www.cics.umass.edu/building/gift,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Masters_RAW.html,https://www.cics.umass.edu/degree-program/masters,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Masters_Students_RAW.html,https://www.cics.umass.edu/content/masters-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Mobile_And_Sensor_Systems_RAW.html,https://www.cics.umass.edu/research/area/mobile-and-sensor-systems,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Advsing_RAW.html,https://www.cics.umass.edu/content/ms-program-advising,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Core_Req_RAW.html,https://www.cics.umass.edu/grads/core-requirements-ms,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_COurse_Req_RAW.html,https://www.cics.umass.edu/grads/course-requirements-ms,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Data_Science_RAW.html,https://www.cics.umass.edu/grads/data-science-concentration-elective-requirements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Field_Experience_RAW.html,https://www.cics.umass.edu/grads/field-experience-concentration,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Hybrid_RAW.html,https://www.cics.umass.edu/degree-programs/masters/online/hybrid,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Online_RAW.html,https://www.cics.umass.edu/degree-programs/masters/online,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_PHD_Other_Program_Info_RAW.html,https://www.cics.umass.edu/grads/other-program-information,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_PHD_req_RAW.html,https://www.cics.umass.edu/grads/msphd-requirements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Requirements_RAW.html,https://www.cics.umass.edu/grads/ms-requirements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\MS_Security_Req_RAW.html,https://infosec.cs.umass.edu/content/ms-concentration-security-0?_gl=1*i0j1cn*_gcl_au*MTU2ODA5MDk2My4xNzA2MTUwMDAw*_ga*MTMzMzQ1NzcxOC4xNjkwMTU2Njkw*_ga_21RLS0L7EB*MTcwODA0MDIwOC45NC4xLjE3MDgwNDIxNTMuMC4wLjA.,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Networking_And_Distributing_Systems_RAW.html,https://www.cics.umass.edu/research/area/networking-and-distributed-systems,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\News_RAW.html,https://www.cics.umass.edu/news,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Online_Services_RAW.html,https://www.cics.umass.edu/about/online-services,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\OPT_Grad_RAW.html,https://www.cics.umass.edu/content/opt-graduate-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Our_History_RAW.html,https://www.cics.umass.edu/about/history-school-computer-science,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Our_New_Building_RAW.html,https://www.cics.umass.edu/building,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Outreach_Initiatives_RAW.html,https://www.cics.umass.edu/diversity/outreach-initiatives,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Outstanding_Achievement_Advocacy_Award_RAW.html,https://www.cics.umass.edu/people/outstanding-achievement-and-advocacy-award-recipients,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Past_OAA_RAW.html,https://www.cics.umass.edu/content/past-outstanding-achievement-and-advocacy-award-recipients,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\People_RAW.html,https://www.cics.umass.edu/people/cs-people,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\PHD_Req_RAW.html,https://www.cics.umass.edu/grads/phd-requirements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\PhD_Students_RAW.html,https://www.cics.umass.edu/content/phd-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Prospective_Graduates_RAW.html,https://www.cics.umass.edu/admissions/prospective-graduates,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Publications_RAW.html,https://www.cics.umass.edu/faculty/publications,
